smiles,compound_set,template,hit1,hit2
CN(C)C(=O)CNCc1cccc2nc(N)sc12,cx1271a-cx0721a,cx0300a,cx1271a,cx0721a
Nc1sc2ccccc2c1O,cx1271a-cx1445a,cx0300a,cx1271a,cx1445a
NNCc1cccc(N[C@H](N)S)c1,cx1271a-cx0756a,cx0300a,cx1271a,cx0756a
C[C@H]1CN[C@H]2[C@H]1[C@@H]1NCCN1[C@@H]1C[C@H](NC(N)=O)CCN12,cx1298a-cx0544a,cx0300a,cx0544a,cx1298a
Cc1cnc2n(C)c(=O)n3c(c1-2)OCO3,cx1298a-cx1305a,cx0300a,cx1298a,cx1305a
C/C1=C/C=C\c2c(ncn2C)N(C)C1=O,cx1298a-cx0839a,cx0300a,cx1298a,cx0839a
CN1CN[C@H]2[C@H]1[C@H](C(N)=O)N(C)C(=O)N2C,cx1298a-cx1268a,cx0300a,cx1298a,cx1268a
Nc1cc(-c2cc[nH]n2)cc2c1OCO2,cx0864a-cx1338a,cx0300a,cx1338a,cx0864a
Nc1cc(-c2cc[nH]n2)c(Cl)c2c1OCO2,cx0864a-cx1371a,cx0300a,cx1371a,cx0864a
Nc1cc(-c2cc[nH]n2)cc2c1OCO2,cx0864a-cx1271a,cx0300a,cx1271a,cx0864a
Cc1cc2c(c(C)c1-c1cc[nH]n1)N(C)CO2,cx0864a-cx1194a,cx0300a,cx0864a,cx1194a
On1nccc1-c1ccc2c(c1)OCO2,cx0864a-cx0969a,cx0300a,cx0864a,cx0969a
BrN1COc2ccc(-c3cc[nH]n3)cc21,cx0864a-cx1075a,cx0300a,cx0864a,cx1075a
Nc1cc(-c2cc[nH]n2)cc2c1OCO2,cx0864a-cx1203a,cx0300a,cx0864a,cx1203a
Cc1cc2c(cc1-c1n[nH]cc1CC(N)=O)N(C#N)CO2,cx0864a-cx0553a,cx0300a,cx0864a,cx0553a
Cc1cnc2cnnc-2c2ccc3c(c12)OCO3,cx0864a-cx0756a,cx0300a,cx0864a,cx0756a
CN1COc2cc(O)c(-c3cc[nH]n3)cc21,cx0864a-cx1316a,cx0300a,cx0864a,cx1316a
OC1(O)COc2ccc(-c3cc[nH]n3)cc21,cx0864a-cx1268a,cx0300a,cx0864a,cx1268a
Cc1c(N)c2ccccc2n1C,cx1444a-cx1406a,cx0300a,cx1444a,cx1406a
CCCNc1cccc(N[C@@H](C)N)c1,cx1444a-cx0756a,cx0300a,cx1444a,cx0756a
Oc1ccc2c(c1Cl)OCO2,cx1305a-cx1371a,cx0300a,cx1371a,cx1305a
COCc1c(O)cc(N)c2c1OCO2,cx1305a-cx0404a,cx0300a,cx1305a,cx0404a
O=C(NCc1cccs1)c1c(O)ccc2c1OCO2,cx1305a-cx0892a,cx0300a,cx1305a,cx0892a
Nc1cc(O)cc2c1OCN2F,cx1305a-cx1410a,cx0300a,cx1305a,cx1410a
OC[C@@H]1CCC[C@H]1NN1COc2ccc(O)cc21,cx1305a-cx0406a,cx0300a,cx1305a,cx0406a
CN[C@H](c1cnn(-c2ccccc2)c1)c1cccc(O)n1,cx0632a-cx1118a,cx0300a,cx0632a,cx1118a
CNCc1cnn(-c2cc(F)ccc2O)c1O,cx0632a-cx0540a,cx0300a,cx0632a,cx0540a
CN[C@H](c1cnn(-c2ccccc2)c1)c1ccc(=O)[nH]n1,cx0632a-cx1135a,cx0300a,cx0632a,cx1135a
CN[C@@]1(c2cnn(-c3ccccc3)c2)CNC(=O)CN1,cx0632a-cx1131a,cx0300a,cx0632a,cx1131a
CCc1nc(Cn2cc(C)c(Cc3cnn(-c4ccccc4)c3)cc2=O)no1,cx0632a-cx0316a,cx0300a,cx0632a,cx0316a
O=C1C[C@@]2(CNC(=O)c3ccccc3F)c3ccncc3[C@@H](c3cscn3)N[C@H]2CN1,cx0824a-cx0300a,cx0300a,cx0824a,cx0300a
Cc1nsc(N[C@@H]2C[C@@]3(CNCC[C@@H]3CCNC(=O)c3ccccc3F)C[C@H]2CO)n1,cx0824a-cx0406a,cx0300a,cx0824a,cx0406a
OCCNNCc1cccnc1,cx1116a-cx0477a,cx0300a,cx1116a,cx0477a
C[C@H](c1ccc(N)nc1)c1nc(Cn2ccccc2=O)no1,cx1116a-cx0316a,cx0300a,cx1116a,cx0316a
CC1=NN(c2ccccc2)C(=O)[C@H]1C1=NC(=O)C(CCO)=C1C,cx0760a-cx0317a,cx0300a,cx0317a,cx0760a
NC(=O)c1ccc2[nH]n(-c3ccccc3)c(=O)c2c1,cx0760a-cx0441a,cx0300a,cx0760a,cx0441a
COCC1=C2C=CNC(N)=C2NO1,cx0404a-cx1353a,cx0300a,cx0404a,cx1353a
COCc1onc(C(N)=O)c1C(F)F,cx0404a-cx0394a,cx0300a,cx0404a,cx0394a
COC[C@H]1ON[C@H]2[C@@H]1CCCN[C@@H]2N,cx0404a-cx1402a,cx0300a,cx0404a,cx1402a
COCc1onc2c(N)ncc(C)c12,cx0404a-cx1406a,cx0300a,cx0404a,cx1406a
COC(=O)c1c2ccc[nH]c-2nc1N,cx1278a-cx1338a,cx0300a,cx1338a,cx1278a
COC(=O)[C@@H]1CN(N)C2=C1CCCN2O,cx1278a-cx1371a,cx0300a,cx1371a,cx1278a
CON(C)C(=O)[C@H]1[C@@H](CCCN)C[C@@H]1NN,cx1278a-cx0404a,cx0300a,cx0404a,cx1278a
CCCNc1cc(CCC(C)C)c[nH]1,cx1278a-cx0353a,cx0300a,cx1278a,cx0353a
COC(O)(O)c1c[nH]c2ccccc12,cx1278a-cx0969a,cx0300a,cx1278a,cx0969a
COC(=O)c1c2ccc[nH]c-2nc1N,cx1278a-cx1203a,cx0300a,cx1278a,cx1203a
COC1=NN[C@H]2N[C@@H]3NCCC[C@@H]3[C@H]12,cx1278a-cx0839a,cx0300a,cx1278a,cx0839a
COC(=O)c1cnc2[nH]cc(C)cc1-2,cx1278a-cx1406a,cx0300a,cx1278a,cx1406a
COC(=O)c1cnc2[nH]cc(N)cc1-2,cx1278a-cx1288a,cx0300a,cx1278a,cx1288a
Cc1ccncc1NC(=O)Cc1cccc(O)n1,cx0305a-cx1118a,cx0300a,cx0305a,cx1118a
CC(=O)N1c2cccc(F)c2O[C@H](C)[C@H]1c1cccc(O)n1,cx1118a-cx0505a,cx0300a,cx1118a,cx0505a
C[C@@H]1Oc2cc(O)cc(N)c2O1,cx1134a-cx1305a,cx0300a,cx1305a,cx1134a
CC(C)c1cc(Br)ccc1ON,cx1134a-cx1076a,cx0300a,cx1134a,cx1076a
CS1(C)N[C@@H](NO)N[C@H]1N[C@@H]1CCC[C@H]1CO,cx1134a-cx0406a,cx0300a,cx1134a,cx0406a
CC(C)C(=NO)c1ccc(O)cc1,cx1134a-cx1316a,cx0300a,cx1134a,cx1316a
CC(C)c1cccc2[nH]cnc12,cx1134a-cx0894a,cx0300a,cx1134a,cx0894a
CC1=CNc2ccc(O)c3cccc1c23,cx1440a-cx1316a,cx0300a,cx1440a,cx1316a
NC1=Cc2cccc3cccc(c23)N1,cx1440a-cx1431a,cx0300a,cx1440a,cx1431a
CC1=NC(=O)C(C(C)C)=C1N(C)N(C)C,cx1194a-cx1298a,cx0300a,cx1298a,cx1194a
C[C@@H]1C[C@H](C)N2[C@@H](F)CN3NC(=O)[C@@H]1[C@@H]32,cx1194a-cx0394a,cx0300a,cx1194a,cx0394a
CC1=NC(=O)c2c(C)cc(C(=O)N[C@@H]3CCC(=O)NC3)nc21,cx1194a-cx0300a,cx0300a,cx1194a,cx0300a
CCc1cc(C)c2c(n1)C(C)=NC2=O,cx1194a-cx1417a,cx0300a,cx1194a,cx1417a
Cc1cc(C)c2c(n1)C(CCc1nc(Cn3ccccc3=O)no1)=NC2=O,cx1194a-cx0316a,cx0300a,cx1194a,cx0316a
Cn1nccc1C(=O)NC[C@@H]1CC[C@@]2(NCNN2)S1,cx0892a-cx0281a_copy,cx0300a,cx0892a,cx0281a
CN1N[C@H]2[C@H](CCC[C@@H]2NC(N)=O)[C@H]1C(=O)NCc1cccs1,cx0892a-cx0544a,cx0300a,cx0544a,cx0892a
Cn1nccc1C(=O)NCc1ccc(O)s1,cx0892a-cx1151a,cx0300a,cx1151a,cx0892a
C[C@H]1C=C(Cc2cccs2)N(O)[C@@H]2[C@@H]1CNN2C,cx0892a-cx1194a,cx0300a,cx1194a,cx0892a
Cc1c(N)nn2cccc(NCc3cccs3)c12,cx0892a-cx1203a_copy,cx0300a,cx0892a,cx1203a
CNc1cc2c(NCc3cccs3)cccn2n1,cx0892a-cx0839a_copy,cx0300a,cx0892a,cx0839a
CC1=C(CCO)C(=O)N=C1N(C)C(=O)COc1cccc(F)c1,cx0540a-cx0317a,cx0300a,cx0317a,cx0540a
CC(C)(C(=O)c1cc2cc(F)ccc2cc1F)c1ccncc1,cx0540a-cx0824a,cx0300a,cx0824a,cx0540a
CN(Cc1cccc(O)n1)C(=O)COc1cccc(F)c1,cx0540a-cx1118a,cx0300a,cx1118a,cx0540a
CN(C(=O)COc1cccc(F)c1)[C@@H]1CCC(=O)N1,cx0540a-cx1135a,cx0300a,cx0540a,cx1135a
CC(C)(C(=O)COc1cccc(F)c1)c1ccn(CCO)c(=O)c1,cx0540a-cx1091a,cx0300a,cx0540a,cx1091a
CNc1nccc2ccc3cn(C)cc3c12,cx0353a-cx1298a,cx0300a,cx1298a,cx0353a
c1ccc2c(c1)ccn1nccc21,cx0353a-cx1440a,cx0300a,cx1440a,cx0353a
OC[C@@H]1CCC[C@H]1N[C@@H]1N[C@]2(NCCc3ccccc32)NS1,cx0353a-cx0406a,cx0300a,cx0353a,cx0406a
CN(c1nc(Cn2ccccc2=O)no1)c1nccc2ccccc12,cx0353a-cx0316a,cx0300a,cx0353a,cx0316a
OCc1ccc2c(c1)[C@@H](Br)CO2,cx0969a-cx1075a,cx0300a,cx0969a,cx1075a
OCc1ccc2c(c1Br)CCO2,cx0969a-cx1076a,cx0300a,cx0969a,cx1076a
C[C@H]1COc2cc(O)c(CO)cc21,cx0969a-cx1316a,cx0300a,cx0969a,cx1316a
NC(=O)N1CCN([C@]2(O)[C@H](O)[C@]23CC[C@]2(CCC[C@@H](F)C2)O3)CC1,cx0543a-cx0540a,cx0300a,cx0540a,cx0543a
NC(=O)N1CCN(C(=O)c2ccco2)C[C@H]1NC(=O)c1cscn1,cx0543a-cx0300a,cx0300a,cx0543a,cx0300a
CCc1nc(NC(=O)N2CCN(C(=O)c3ccco3)CC2)no1,cx0543a-cx0316a,cx0300a,cx0543a,cx0316a
C[C@H]1CN(C(=O)c2cccc(F)c2)CCN1,cx0585a-cx0398a,cx0300a,cx0398a,cx0585a
O=C1C[C@]2(Br)CCN(C(=O)c3cccc(F)c3)C[C@@H]2CCN1CCO,cx0585a-cx1091a,cx0300a,cx0585a,cx1091a
CCc1nc(C[C@@H]2CC[C@H]3CN(C(=O)c4cccc(F)c4)CC[C@H]3C[C@H]2O)no1,cx0585a-cx0316a,cx0300a,cx0585a,cx0316a
NC(=O)c1cnn(CCO)c1Cl,cx0477a-cx1371a,cx0300a,cx1371a,cx0477a
N[C@@H](N=O)c1cnn(CCO)c1C(F)F,cx0477a-cx0394a,cx0300a,cx0477a,cx0394a
OCCc1ncc2cncccc1-2,cx0477a-cx1402a,cx0300a,cx0477a,cx1402a
NC(=O)c1cnn(CC(O)(O)N[C@@H]2CCC(=O)NC2)c1,cx0477a-cx0300a,cx0300a,cx0477a,cx0300a
Cc1cnc(N)c2cnn(CCO)c12,cx0477a-cx1406a,cx0300a,cx0477a,cx1406a
CO[C@@](N)(O)c1cn(CCO)nc1O,cx0477a-cx1316a,cx0300a,cx0477a,cx1316a
CN(C)C(=O)CN/C=N/c1ccnc(N)c1,cx1075a-cx0721a,cx0300a,cx1075a,cx0721a
N[C@H]1N[C@H]2CCC[C@@H]2[C@H]2N(CCO)NCN12,cx1203a-cx0477a,cx0300a,cx0477a,cx1203a
CN(C)C(=O)CCn1c(N)nc2ccccc21,cx1203a-cx0721a,cx0300a,cx1203a,cx0721a
Cn1c(N)nc2ccc([C@@H]3CCC[C@H]3CO)cc21,cx1203a-cx0406a,cx0300a,cx1203a,cx0406a
O=C1CC[C@@H](NC(=O)[C@@H]2CS[C@]3(CCNC(=O)C3)N2)CN1,cx1076a-cx0300a,cx0300a,cx1076a,cx0300a
CN(C)C(=O)CN(C=O)c1cc[nH]c(=O)c1,cx1076a-cx0721a,cx0300a,cx1076a,cx0721a
OC[C@@H]1CCC[C@H]1Nc1snc2nccc(Br)c12,cx1076a-cx0406a,cx0300a,cx1076a,cx0406a
CNc1cnc2cccc(NCc3cccs3)c2n1,cx0839a-cx0892a_copy,cx0300a,cx0892a,cx0839a
CNc1nc2cc(F)ccc2nc1N,cx0839a-cx1410a,cx0300a,cx1410a,cx0839a
CNc1cc(O)c2cccc(C)c2n1,cx0839a-cx0394a,cx0300a,cx0394a,cx0839a
CNc1cnc2cccc(NCC(=O)N(C)C)c2n1,cx0839a-cx0721a,cx0300a,cx0839a,cx0721a
CC(C)(C)c1cnc2ccccc2n1,cx0839a-cx1299a,cx0300a,cx0839a,cx1299a
CNc1cnc2ccc([C@@H]3CCC[C@H]3CO)cc2n1,cx0839a-cx0406a,cx0300a,cx0839a,cx0406a
CCOc1cccc2ncc(NC)nc12,cx0839a-cx1417a,cx0300a,cx0839a,cx1417a
C[C@H](c1cnc2[nH]ccc2c1)c1nc(Cn2ccccc2=O)no1,cx1402a-cx0316a,cx0300a,cx1402a,cx0316a
Cc1c(C(=O)NCO)ccnc1NC1CC=CC1,cx0441a-cx0317a,cx0300a,cx0317a,cx0441a
NC(=O)C1=CC2=C[C@H]3CC=C[C@@H]3NN2C=C1,cx0441a-cx0760a,cx0300a,cx0760a,cx0441a
NC(=O)c1ccc2c(c1)N[C@H]1CC=C[C@@H]1C2=O,cx0441a-cx0543a,cx0300a,cx0543a,cx0441a
NC(=O)c1ccc2c(c1)C[C@@]1(C[C@H]3CCCC[C@H]3C1)NC2,cx0441a-cx0436a,cx0300a,cx0436a,cx0441a
NC(=O)[C@@H]1CCN2C3=C(CC=CO3)N[C@@H]2C1,cx0441a-cx1183a,cx0300a,cx0441a,cx1183a
CN[C@H](c1cnn(-c2ccccc2)c1)[C@H]1CCC(=O)NN1,cx1135a-cx0632a,cx0300a,cx0632a,cx1135a
O=C(Nc1ccc(=O)[nH]c1Cc1ccncc1)c1ccccc1F,cx1135a-cx0824a,cx0300a,cx0824a,cx1135a
Cc1ccncc1NC(=O)Cc1cccc(=O)[nH]1,cx1135a-cx0305a,cx0300a,cx0305a,cx1135a
CN(CC(N)=O)c1snc(CCc2nc(Cn3ccccc3=O)no2)c1C#N,cx0553a-cx0316a,cx0300a,cx0553a,cx0316a
N#CCc1nccn1CC(F)(F)OC1=C(CCO)C(=O)N=N1,cx0294a-cx0317a,cx0300a,cx0317a,cx0294a
Nc1ccc(F)cc1C(=O)c1nccn1CC(F)(F)F,cx0294a-cx0585a,cx0300a,cx0585a,cx0294a
Cc1cn2c(c1O)-c1c(N)ccc(F)c1OCC(F)(F)C2,cx0294a-cx0505a,cx0300a,cx0294a,cx0505a
FC(F)(F)Cc1ccc2[nH]c3c(c2c1)C#CC3,cx0294a-cx1183a,cx0300a,cx0294a,cx1183a
NC(=O)c1cc2scc(C(=O)N[C@@H]3CCC(=O)NC3)c2cc1N,cx0300a-cx1372a,cx0300a,cx1372a,cx0300a
CN(C(=O)c1cn[nH]c1)[C@H]1CC(=O)NC[C@@H]1NC(=O)c1cscn1,cx0300a-cx0732a,cx0300a,cx0732a,cx0300a
O=C(N[C@H]1CNC(=O)c2ccc(Cn3cnc4ccccc43)cc21)c1cscn1,cx0300a-cx0620a,cx0300a,cx0620a,cx0300a
O=C1CC[C@@H](NC(=O)[C@@H]2CS[C@@]3(N2)C2=C(CC[C@H]3O)OCO2)CN1,cx0300a-cx1305a,cx0300a,cx1305a,cx0300a
N[C@H]1C[C@@]2(CCN1)N[C@H](C(=O)N[C@@H]1CCC(=O)NC1)CS2,cx0300a-cx1440a,cx0300a,cx1440a,cx0300a
Cn1nccc1C(=O)c1cscc1[C@](O)(N[C@@H]1CCC(=O)NC1)c1cccs1,cx0300a-cx0892a,cx0300a,cx0892a,cx0300a
CN[C@H]1NCCC[C@@]12N[C@H](C(=O)N[C@@H]1CCC(=O)NC1)CS2,cx0300a-cx0353a,cx0300a,cx0353a,cx0300a
O=C1CC[C@@H](NC(=O)[C@@H]2CS[C@@]3(N2)C2=C(CC[C@H]3CO)OCC2)CN1,cx0300a-cx0969a,cx0300a,cx0969a,cx0300a
O=C1C[C@H](N2CCN[C@H](CC3CCCCC3)C2=O)[C@@H](NC(=O)c2cscn2)CN1,cx0300a-cx0436a,cx0300a,cx0436a,cx0300a
Nc1nccc(-c2nc(C(=O)N[C@@H]3CCC(=O)NC3)cs2)n1,cx0300a-cx1132a,cx0300a,cx0300a,cx1132a
O=C1CC[C@@H](NC(=O)c2cscn2)CC1=O,cx0300a-cx1131a,cx0300a,cx0300a,cx1131a
Cc1n[nH]c(C)c1-c1nc(C(=O)N[C@@H]2CCC(=O)NC2)cs1,cx0300a-cx1417a,cx0300a,cx0300a,cx1417a
CNC(=O)C1=C2N=CC=C2C=S2C=C(C(=O)N[C@@H]3CCC(=O)NC3)N=C12,cx0300a-cx0399a,cx0300a,cx0300a,cx0399a
CN(C)C(=O)CN[C@@H]1CCCCc2c(O)csc21,cx0721a-cx1372a,cx0300a,cx1372a,cx0721a
COC[C@@H](C)n1c(N)nc2ccccc21,cx1299a-cx1278a,cx0300a,cx1278a,cx1299a
NC(=O)c1ccc(C(=O)N[C@@H]2CCC(=O)NC2)cc1O,cx1445a-cx0300a,cx0300a,cx0300a,cx1445a
CN(C(=O)COc1cccc(F)c1)[C@H]1CNC(=O)CN1,cx1131a-cx0540a,cx0300a,cx0540a,cx1131a
Cc1nsc(N[C@@H]2C[C@@]3(CNCC[C@H]3CCNC(=O)c3ccccc3F)C[C@H]2CO)n1,cx0406a-cx0824a,cx0300a,cx0824a,cx0406a
CC(C)c1c(N)ncc2c1-c1n[nH]cc1CCC2,cx0756a-cx1299a,cx0300a,cx1299a,cx0756a
c1cc2c(ccc3c[nH]nc32)cn1,cx0756a-cx1288a,cx0300a,cx1288a,cx0756a
CN(C(=O)c1ccc(O)cc1)c1nc(Cn2ccccc2=O)no1,cx1316a-cx0316a,cx0300a,cx1316a,cx0316a
CCOc1c(O)ccc2nn(N)c(C)c12,cx1417a-cx1410a,cx0300a,cx1410a,cx1417a
Cc1n[nH]c(C)c1-c1nc(C(=O)N[C@@H]2CC[C@H](O)NC2)cs1,cx1417a-cx0300a,cx0300a,cx0300a,cx1417a
CCOc1c(O)ccc2nn(N)c(CC)c12,cx1417a-cx1299a,cx0300a,cx1299a,cx1417a
CC[C@H]1CCCCc2c1c(C)nn2O,cx1417a-cx1445a,cx0300a,cx1445a,cx1417a
CCO/C(=N\[C@H]1CCC[C@H]1CO)c1c(C)n[nH]c1C,cx1417a-cx0406a,cx0300a,cx0406a,cx1417a
CCOC(=O)c1c(CCc2nc(Cn3ccccc3=O)no2)n[nH]c1C,cx1417a-cx0316a,cx0300a,cx1417a,cx0316a
CCOC(=O)c1c(C(N)=O)n[nH]c1C,cx1417a-cx1268a,cx0300a,cx1417a,cx1268a
