smiles,hit1_short,hit2_short,inchi_key,compound_set,error_type
CN(C)C(=O)CN[C@@H]1CCCCc2c(O)csc21,cx1372a,cx0721a,DXILOKLGUWOXKC-SNVBAGLBSA-N,cx0721a-cx1372a,NoSynthesisRoute
CN[C@H]1CNC[C@]2(C[C@H](O)CC[C@@H]2NC(=O)COC)N1,cx0935a,cx0839a,OSUSJAPCJQBCSN-XZUYRWCXSA-N,cx0935a-cx0839a,NoSynthesisRoute
C[C@]1(F)CN(CCN)C[C@H](CCCNN)C1=O,cx0522a,cx0294a,NYMFCWGXQSAFPA-ONGXEEELSA-N,cx0522a-cx0294a,NoSynthesisRoute
CN(C)[C@@]1(O)C[S@]1(C)CC[C@@H]1C=C(NCS)[C@@]1(O)Nc1ccccn1,cx0289a,cx0721a,BVAGKZUXIOMZIK-KBRIMQKVSA-N,cx0721a-cx0289a,NoSynthesisRoute
COCC(=O)N[C@H]1CC[C@@H](O)C[C@]12CCC[C@H](CO)C2,cx0935a,cx0969a,YHLFAQOJWOGOLI-SFDCQRBFSA-N,cx0935a-cx0969a,NoSynthesisRoute
Nc1ccc(S(=O)(=O)Nc2ccc3cc(-c4ccn[nH]4)c[nH]c2-3)cc1,cx0289a,cx0864d,OYIAPMLQDFWTKP-UHFFFAOYSA-N,cx0289a-cx0864d,NoSynthesisRoute
C1CNC2=C(C1)C1=C(CC2)OCC1,cx1260a,cx0969d,BPORPDJTOBNPCL-UHFFFAOYSA-N,cx0969d-cx1260a,NoSynthesisRoute
O=C1C[C@]2(Br)CCN(C(=O)c3cccc(F)c3)C[C@@H]2CCN1CCO,cx0585a,cx1091a,QAHGAEAVRARJEN-KBXCAEBGSA-N,cx0585a-cx1091a,NoSynthesisRoute
O=C(Nc1ccccc1)c1c(CO)cc2c(c1O)OCC2,cx0692a,cx0969f,HZMWNEMTDOMFDH-UHFFFAOYSA-N,cx0969f-cx0692a,NoSynthesisRoute
O=C(NCc1cccs1)S(=O)(=O)Nc1ccccn1,cx0289a,cx0892a,JMNYKECVGSHROL-UHFFFAOYSA-N,CHIKVMac-DLS-JA009,NoSynthesisRoute
Cc1cnc2n(C)c(=O)n3c(c1-2)OCO3,cx1298a,cx1305a,OLSWFZKUMZLCMR-UHFFFAOYSA-N,cx1298a-cx1305a,NoSynthesisRoute
Oc1ccc(Nn2cccc3ccnc2-3)cc1,cx1402b,cx0935a,PAYFJUUAHSNYFV-UHFFFAOYSA-N,cx0935a-cx1402b,NoSynthesisRoute
CCOC(=O)c1c(CCc2nc(Cn3ccccc3=O)no2)n[nH]c1C,cx1417a,cx0316a,WPJNMRJPBHMZLH-UHFFFAOYSA-N,cx1417a-cx0316a,NoSynthesisRoute
FC(F)(F)Cc1ccc2[nH]c3c(c2c1)C#CC3,cx0294a,cx1183a,VWXBKNSUYFZSHF-UHFFFAOYSA-N,cx0294a-cx1183a,NoSynthesisRoute
Cc1c(N)nn2cccc(NCc3cccs3)c12,cx0892a,cx1203a,DIXNXVWQGJPPGN-UHFFFAOYSA-N,cx0892a-cx1203a,NoSynthesisRoute
